song_id,song_name,artists,genres
4574.0,你是你本身的傳奇,Charmaine Fong,"c-pop,cantopop"
16635126.0,HIP,MAMAMOO,"k-pop,k-pop girl group"
17199954.0,"嫁給愛情 - 劇集 ""多功能老婆"" 主題曲",Miriam Yeung,"c-pop,cantopop"
842269.0,傳聞,Pakho Chau,"c-pop,cantopop"
13906197.0,Graveyard,Halsey,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop"
441667.0,兜圈,Yoga Lin,"cantopop,chinese indie,mandopop"
13337937.0,Speechless (Full),Naomi Scott,"hollywood,post-teen pop,vapor pop"
15951288.0,Two at a time,AGA,"c-pop,cantopop"
8202728.0,後來的我們,Mayday,"c-pop,mandopop,taiwan pop"
10341049.0,"thank u, next",Ariana Grande,"dance pop,pop,post-teen pop"
7758184.0,等你下課,"Jay Chou,Gary Yang","c-pop,mandopop,taiwan pop,taiwan pop"
476626.0,羅生門,"Juno Mak,Kay Tse","c-pop,cantopop,c-pop,cantopop,chinese indie"
12880063.0,Sucker,Jonas Brothers,"boy band,dance pop,pop,post-teen pop"
4093557.0,大哥,Janice Vidal,"c-pop,cantopop"
9938355.0,年少有為,Ronghao Li,"cantopop,mainland chinese pop,mandopop"
1314124.0,Fairy tale,Yoga Lin,"cantopop,chinese indie,mandopop"
16639401.0,Up All Night,Khalid,pop
476704.0,戀無可戀,Leo Ku,"c-pop,cantopop,classic cantopop"
17274280.0,The Box,Roddy Ricch,"melodic rap,rap,southern hip hop,trap"
4573.0,死性不改,Twins,"c-pop,cantopop,classic cantopop"
15719124.0,Good As Hell (feat. Ariana Grande) - Remix,"Lizzo,Ariana Grande","dance pop,pop,post-teen pop,escape room,minnesota hip hop,pop,trap queen"
13274973.0,2084,Dear Jane,"c-pop,cantopop"
4905739.0,光年之外 (电影 《Passengers》 中国区主题曲),G.E.M.,"cantopop,mandopop"
7613142.0,Havana,"Camila Cabello,Young Thug","atl hip hop,atl trap,gangster rap,melodic rap,pop rap,rap,trap,dance pop,pop,post-teen pop"
17014491.0,Yellow Hearts,Ant Saunders,
17272054.0,Family,"The Chainsmokers,Kygo","edm,pop,tropical house,electropop,pop,tropical house"
13752110.0,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift,Brendon Urie,Panic! At The Disco","baroque pop,emo,modern rock,pop punk,dance pop,pop,post-teen pop,pop"
10135629.0,Lucid Dreams,Juice WRLD,"chicago rap,melodic rap,pop"
54945.0,只是太愛你(國),Hins Cheung,"c-pop,cantopop,mandopop"
17785343.0,"Alone, Pt. II","Alan Walker,Ava Max","electro house,dance pop,pop,post-teen pop"
9729803.0,Sweet but Psycho,Ava Max,"dance pop,pop,post-teen pop"
4542.0,時光機,Terence Siufay,"c-pop,cantopop"
16608008.0,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”","Lauv,Anne-Marie","dance pop,pop,post-teen pop,tropical house,uk pop,dance pop,pop"
11034736.0,Kill This Love,BLACKPINK,"k-pop,k-pop girl group"
17325057.0,Falling,Harry Styles,"dance pop,pop,post-teen pop"
10145641.0,Faded,Alan Walker,electro house
10004870.0,在月台上等你,Janice Vidal,"c-pop,cantopop"
13617823.0,逃生門,JW,cantopop
10367878.0,13樓的大笨象,Stephanie Cheng,"c-pop,cantopop,classic cantopop"
13683310.0,On My Way,"Alan Walker,Sabrina Carpenter,Farruko","latin,reggaeton,trap latino,tropical,dance pop,electropop,pop,post-teen pop,viral pop,electro house"
476703.0,面具,Alfred Hui,"c-pop,cantopop"
3993687.0,必殺技,Leo Ku,"c-pop,cantopop,classic cantopop"
4476065.0,哪裡只得我共你,Dear Jane,"c-pop,cantopop"
2544236.0,那些你很冒險的夢,JJ Lin,"mandopop,singaporean mandopop,singaporean pop"
14019707.0,Feel Special,TWICE,"k-pop,k-pop girl group"
9729660.0,Happier,"Marshmello,Bastille","brostep,progressive electro house,metropopolis,modern rock,pop"
15684860.0,Look At Her Now,Selena Gomez,"dance pop,pop,post-teen pop"
17280349.0,Call You Mine,"The Chainsmokers,Bebe Rexha","dance pop,pop,post-teen pop,electropop,pop,tropical house"
16979880.0,Some Things Never Change,"Kristen Bell,Idina Menzel,Josh Gad","broadway,hollywood,movie tunes,show tunes,disney,movie tunes,broadway,comic,hollywood,movie tunes,show tunes"
13752100.0,Lover,Taylor Swift,"dance pop,pop,post-teen pop"
7543943.0,如果雨之後,Eric Chou,mandopop
16729883.0,說分手,Shiga Lin,"c-pop,cantopop"
15264525.0,If The World Was Ending (feat. Julia Michaels),"JP Saxe,Julia Michaels","dance pop,pop,post-teen pop,canadian contemporary r&b,indie anthem-folk,indie r&b"
5072665.0,無賴,Ronald Cheng,"c-pop,cantopop,classic cantopop,mandopop"
10530136.0,不許你注定一人,Dear Jane,"c-pop,cantopop"
16174550.0,二零一九,LMF,"c-pop,cantopop,hong kong hip hop"
10481109.0,其實寂寞,Kay Tse,"c-pop,cantopop"
10231094.0,Dancing With A Stranger (with Normani),"Sam Smith,Normani","pop,uk pop,dance pop,pop,post-teen pop,r&b"
4576.0,不為誰而作的歌,JJ Lin,"mandopop,singaporean mandopop,singaporean pop"
16979902.0,Lost in the Woods,Jonathan Groff,"hollywood,show tunes"
5263.0,以後別做朋友,Eric Chou,mandopop
3991487.0,富士山下,Eason Chan,"c-pop,cantopop,mandopop"
780006.0,不該,"Jay Chou,A-Mei Chang","c-pop,mandopop,taiwan pop,c-pop,mandopop"
9893795.0,Without Me,Halsey,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop"
2561707.0,Photograph,Ed Sheeran,"pop,uk pop"
17272140.0,別𠱁我,JC 陳詠桐,"cantopop,mandopop"
16607959.0,Feelings,Lauv,"dance pop,pop"
160364.0,Ye Hai Zi,Miriam Yeung,"c-pop,cantopop"
15938742.0,我們與愛的距離,Alfred Hui,"c-pop,cantopop"
10554354.0,wish you were gay,Billie Eilish,"electropop,pop"
9294207.0,慢慢喜歡你,Karen Mok,"c-pop,cantopop,classic mandopop,mandopop"
3787704.0,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth,Selena Gomez","dance pop,pop,post-teen pop,dance pop,pop,post-teen pop,viral pop"
16979891.0,All Is Found,Evan Rachel Wood,hollywood
13226608.0,Goodbyes (Feat. Young Thug),"Post Malone,Young Thug","atl hip hop,atl trap,gangster rap,melodic rap,pop rap,rap,trap,dfw rap,melodic rap,pop,rap"
283938.0,晴天,Jay Chou,"c-pop,mandopop,taiwan pop"
13586280.0,Ride It,Regard,
16607974.0,i'm so tired...,"Lauv,Troye Sivan","dance pop,electropop,pop,post-teen pop,viral pop,dance pop,pop"
13752109.0,You Need To Calm Down,Taylor Swift,"dance pop,pop,post-teen pop"
476660.0,發現號,RubberBand,c-pop
17794027.0,摩天動物園,G.E.M.,"cantopop,mandopop"
17058523.0,Blueming,IU,"k-pop,korean pop"
4569.0,可惜沒如果,JJ Lin,"mandopop,singaporean mandopop,singaporean pop"
5621541.0,天梯,C AllStar,"c-pop,cantopop"
10554355.0,when the party's over,Billie Eilish,"electropop,pop"
10136746.0,漸漸,"Eason Chan,eason and the duo band","c-pop,cantopop,mandopop"
471199.0,海闊天空,Beyond,"c-pop,cantopop,classic cantopop"
17339821.0,Futsal Shuffle 2020,Lil Uzi Vert,"melodic rap,philly rap,rap,trap"
8106436.0,Lemon,Kenshi Yonezu,anime
10530135.0,永遠飛行模式,Dear Jane,"c-pop,cantopop"
14770292.0,HIGHEST IN THE ROOM,Travis Scott,"pop,pop rap,rap"
12708586.0,No Idea,Don Toliver,"canadian hip hop,pop rap,rap,trap,trap soul,underground hip hop,vapor trap"
1192242.0,紅綠燈,Stephanie Cheng,"c-pop,cantopop,classic cantopop"
17783258.0,忘記和記 featuring 黎明,"Juno Mak,Leon Lai","c-pop,cantopop,classic cantopop,c-pop,cantopop,chinese indie"
4575.0,她說,JJ Lin,"mandopop,singaporean mandopop,singaporean pop"
